"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Password.js", "JavaScript", 0, 231, 0, 0, 0, 0, 0, 2, 18, 251
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Username.js", "JavaScript", 0, 210, 0, 0, 0, 0, 0, 4, 30, 244
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks\Base.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks\Full.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe\Base.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 39, 8, 134
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe\Full.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 39, 11, 138
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\SubscriptionPage.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\Subscriptions\Manage.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 32, 13, 118
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\placeholderData.js", "JavaScript", 0, 303, 0, 0, 0, 0, 0, 0, 4, 307
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost.js", "JavaScript", 0, 246, 0, 0, 0, 0, 0, 6, 42, 294
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\First.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 0, 26, 271
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Loading.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Second.js", "JavaScript", 0, 323, 0, 0, 0, 0, 0, 12, 30, 365
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Submit.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\EditProfile.js", "JavaScript", 0, 384, 0, 0, 0, 0, 0, 312, 30, 726
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\Socials.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\About.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 3, 68
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Desktop.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 50, 16, 309
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Mobile.js", "JavaScript", 0, 382, 0, 0, 0, 0, 0, 98, 23, 503
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Header\Tablet.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 44, 15, 308
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\sections\Posts.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 2, 20, 156
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 10, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn\Base.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignIn\Full.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 3, 104
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 8, 86
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\First.js", "JavaScript", 0, 486, 0, 0, 0, 0, 0, 2, 36, 524
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\Second.js", "JavaScript", 0, 676, 0, 0, 0, 0, 0, 0, 34, 710
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\SignUp\Third.js", "JavaScript", 0, 424, 0, 0, 0, 0, 0, 2, 29, 455
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Footer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\PageVisual.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page\Base.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\register\layout\Header\Page\Full.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Base.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Full.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\Header.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\school\modal\Search.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 2, 15, 152
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\server.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 6, 18, 135
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\firebase.indexes.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\firebase.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 25, 0, 29
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\.eslintrc.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 77, 10, 87
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\package-lock.json", "JSON", 6150, 0, 0, 0, 0, 0, 0, 0, 1, 6151
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\functions\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\next.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\package-lock.json", "JSON", 20279, 0, 0, 0, 0, 0, 0, 0, 1, 20280
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\404.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 10, 154
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\[profile]\index.js", "JavaScript", 0, 154, 0, 0, 0, 0, 0, 3, 24, 181
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\_app.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 3, 20, 132
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\_document.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\api\contact.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\api\pro.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\api\stripe-webhook.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 6, 7, 33
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\api\welcome.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\c\career\index.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\c\contact\index.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 8, 97
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\c\privacy\index.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 8, 148
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\c\team\index.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\c\tos\index.js", "JavaScript", 0, 691, 0, 0, 0, 0, 0, 0, 6, 697
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\global\[school]\index.js", "JavaScript", 0, 312, 0, 0, 0, 0, 0, 6, 41, 359
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\global\index.js", "JavaScript", 0, 296, 0, 0, 0, 0, 0, 6, 38, 340
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\home\index.js", "JavaScript", 0, 297, 0, 0, 0, 0, 0, 25, 41, 363
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\index.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 3, 15, 126
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\messages\[id]\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\messages\index.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\options\account\index.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\options\pro\index.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 3, 22, 123
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\options\subscriptions\index.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\pages\register\index.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 14, 42, 272
